time,pontos,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,aproveitamento,pontuacao_ponderada,uf,cidade_sede,capital_interior
AMERICA MINEIRO,40,38,10,10,18,30,47,-17,35.80,40102230.2,MG,Belo Horizonte,Capital
ATLETICO  MINEIRO,59,38,17,8,13,56,43,13,51.80,59175256.19,MG,Belo Horizonte,Capital
ATLETICO PARA,57,38,16,9,13,54,37,17,50.00,57165654.18,PR,Curitiba,Capital
BAHIA,48,38,12,12,14,39,41,-2,42.10,48123739.17,BA,Salvador,Capital
BOTAFOGO,51,38,13,12,13,38,46,-8,44.70,51133138.16,RJ,Rio de Janeiro,Capital
CEARA,44,38,10,14,14,32,38,-6,38.60,44103332.15,CE,Fortaleza,Capital
CHAPECOENSE,44,38,11,11,16,34,50,-16,38.60,44112334.14,SC,Chapeco,Interior
CORINTHIANS,44,38,11,11,16,34,35,-1,38.60,44113834.13,SP,Sao Paulo,Capital
CRUZEIRO,53,38,14,11,13,34,34,0,46.50,53143934.12,MG,Belo Horizonte,Capital
FLAMENGO,72,38,21,9,8,59,29,30,63.20,72216959.11,RJ,Rio de Janeiro,Capital
FLUMINENSE,45,38,12,9,17,32,46,-14,39.50,45122532.1,RJ,Rio de Janeiro,Capital
GREMIO,66,38,18,12,8,48,27,21,57.90,66186048.09,RS,Porto Alegre,Capital
INTERNACIONAL,69,38,19,12,7,51,29,22,60.50,69196151.08,RS,Porto Alegre,Capital
PALMEIRAS,80,38,23,11,4,64,26,38,70.20,80237764.07,SP,Sao Paulo,Capital
PARANA,23,38,4,11,23,18,57,-39,20.20,23040018.06,PR,Curitiba,Capital
SANTOS,50,38,13,11,14,46,40,6,43.90,50134546.05,SP,Santos,Interior
SAO PAULO,63,38,16,15,7,46,34,12,55.30,63165146.04,SP,Sao Paulo,Capital
SPORT,42,38,11,9,18,35,57,-22,36.80,42111735.03,PE,Recife,Capital
VASCO DA GAMA,43,38,10,13,15,41,48,-7,37.70,43103241.02,RJ,Rio de Janeiro,Capital
VITORIA,37,38,9,10,19,36,63,-27,32.50,37091236.01,BA,Salvador,Capital
