partida_id,rodada,clube,atleta,minuto
6126,1,Gremio,André Felipe Ribeiro de Souza,55
6127,1,Vitoria,Yago Rocha,13
6127,1,Vitoria,Denílson Pereira Júnior,76
6127,1,Flamengo,Lucas Paquetá,1
6127,1,Flamengo,Réver,72
6128,1,Santos,Pio,42
6128,1,Santos,Rodrygo Silva de Goes,50
6129,1,America-MG,Serginho,1
6129,1,America-MG,Serginho,41
6129,1,America-MG,Carlos Emiliano Pereira,38
6130,1,Vasco,Wagner Ferreira dos Santos,87
6130,1,Vasco,Yago Pikachu,90+9
6130,1,Atletico-MG,Rómulo Otero,13
6131,1,Internacional,Nicolás Federico López,38
6131,1,Internacional,Nicolás Federico López,61
6132,1,Corinthians,Rodrigo Eduardo Costa Marinho,45+1
6132,1,Corinthians,Rodrigo Eduardo Costa Marinho,86
6132,1,Fluminense,Richard Candido Coelho,48
6133,1,Athletico-PR,Pablo Felipe Teixeira,52
6133,1,Athletico-PR,Nikão,58
6133,1,Athletico-PR,Thiago Carleto,68
6133,1,Athletico-PR,Matheus Rossetto,88
6133,1,Athletico-PR,Éderson Alves Ribeiro Silva,90+3
6133,1,Chapecoense,Wellington Paulista,48
6134,1,Sao Paulo,Bruno Alves,37
6135,1,Botafogo-RJ,Igor Rabello,82
6135,1,Palmeiras,Alejandro Guerra,54
6136,2,Bahia,Júnior Brumado,90+4
6137,2,Flamengo,Henrique Dourado,28
6137,2,Flamengo,Henrique Dourado,35
6138,2,Corinthians,Rodrigo Eduardo Costa Marinho,25
6138,2,Corinthians,Sidcley Ferreira Pereira,27
6138,2,Corinthians,Clayson Henrique da Silva Vieira,80
6138,2,Corinthians,Gabriel Girotto Franco,86
6140,2,Atletico-MG,Ricardo Oliveira,20
6140,2,Atletico-MG,Róger Guedes,73
6140,2,Vitoria,Gabriel Costa França,88
6141,2,Fluminense,Pedro,49
6142,2,Chapecoense,Wellington Paulista,19
6142,2,Vasco,Andrés Ríos,54
6143,2,Palmeiras,Eduardo Pereira Rodrigues,40
6145,2,Sport,Everton Felipe,86
6145,2,Botafogo-RJ,Rodrigo Lindoso,90+3
6146,3,Botafogo-RJ,Brenner Marlos Varanda de Oliveira,36
6146,3,Botafogo-RJ,Gilson Gomes do Nascimento,90+2
6146,3,Gremio,Igor Rabello,38
6148,3,Flamengo,Vinícius Júnior,42
6148,3,Flamengo,Vinícius Júnior,53
6148,3,Flamengo,Diego Ribas,71
6150,3,Parana,Jhonny Lucas,90
6150,3,Sport,José Rogério de Oliveira Melo,8
6150,3,Sport,Jonathan Marlone,49
6151,3,Atletico-MG,Róger Guedes,87
6152,3,Fluminense,Pedro,89
6152,3,Sao Paulo,Éder Militão,23
6154,3,America-MG,Marcos Antônio da Silva Gonçalves,7
6154,3,America-MG,Rafael Moura,35
6154,3,Vitoria,Pedro Botelho,76
6155,3,Santos,Diego Pituca,44
6155,3,Vasco,Andrés Ríos,79
6156,4,Vasco,Bruno Cosendey,57
6156,4,Vasco,Caio Monteiro,63
6156,4,Vasco,Andrés Ríos,79
6156,4,Vasco,Kelvin Mateus de Oliveira,90+1
6156,4,America-MG,Rafael Moura,32
6157,4,Sao Paulo,Éverton Cardoso da Silva,25
6157,4,Sao Paulo,Diego Souza,82
6157,4,Atletico-MG,Róger Guedes,71
6157,4,Atletico-MG,Ricardo Oliveira,78
6158,4,Corinthians,Henrique Adriano Buss,40
6158,4,Ceara,Wescley,9
6159,4,Flamengo,Lucas Paquetá,71
6159,4,Flamengo,Éverton Ribeiro,87
6160,4,Cruzeiro,Dedé,72
6161,4,Athletico-PR,Pablo Felipe Teixeira,90
6161,4,Palmeiras,Bruno Henrique Corsini,44
6161,4,Palmeiras,Marcos Rocha,60
6161,4,Palmeiras,Willian Gomes de Siqueira,85
6162,4,Vitoria,Neilton Mestzk,21
6162,4,Fluminense,Pablo Dyego,73
6162,4,Fluminense,Gilberto Moraes Júnior,86
6163,4,Gremio,Maicon,31
